transactionId,accountId,transactionDay,category,transactionAmount
T000433,A41,11,DD,337.13
T000176,A2,4,EE,497.8
T000151,A40,4,AA,737.53
T000205,A45,6,GG,133.23
T000104,A8,2,BB,277.48
T000416,A5,11,EE,476.28
T000929,A7,28,EE,674.02
T000280,A22,8,GG,995.78
T000185,A26,4,EE,4.12
T000512,A18,14,BB,466.91
T000147,A15,4,BB,515.35
T000546,A14,16,BB,10.86
T0003,A32,1,DD,499.86
T000329,A12,8,CC,67.27
T000661,A39,20,CC,293.89
T000712,A9,23,EE,514.6
T000385,A48,10,FF,162.03
T000325,A33,8,EE,294.28
T000560,A45,17,EE,232.66
T00087,A24,2,EE,298.56
T000578,A20,18,FF,39.76
T000720,A40,23,CC,316.05
T000922,A25,27,BB,948.01
T000891,A9,27,AA,291.76
T000248,A33,6,DD,371.34
T00065,A3,2,DD,486.81
T000787,A38,25,DD,705.08
T000163,A33,4,FF,617.25
T000836,A34,26,GG,200.36
T000958,A12,28,EE,396.74
T000702,A8,22,BB,520.24
T00023,A17,1,AA,788.24
T000648,A13,20,GG,637.65
T000615,A4,20,BB,119.2
T000148,A28,4,DD,287.55
T000516,A18,14,EE,117.46
T00056,A16,1,EE,820.45
T000960,A22,28,GG,809.41
T000299,A26,8,DD,249.97
T000509,A36,14,FF,718.85
T000437,A3,11,CC,629.35
T000817,A17,26,DD,957.65
T00014,A44,1,CC,397.19
T000516,A18,14,EE,117.46
T000233,A40,6,GG,526.9
T000343,A47,9,AA,537.26
T000297,A25,8,EE,104.19
T000607,A38,19,EE,610.4
T000948,A14,28,BB,620.32
T000394,A31,11,EE,793.57
T000393,A20,10,BB,237.76
T000690,A24,22,FF,631.91
T000542,A15,15,DD,49.88
T000762,A44,24,DD,430.48
T000564,A16,17,CC,802.54
T00047,A10,1,CC,423.94
T000323,A10,8,GG,352.3
T000232,A20,6,FF,990.85
T000148,A28,4,DD,287.55
T000554,A35,17,BB,913.12
T000141,A43,4,BB,199.06
T000963,A26,28,AA,347.18
T000912,A39,27,CC,488.11
T000276,A36,8,CC,949.59
T000501,A6,14,DD,175.47
T000333,A1,8,AA,898.64
T000905,A8,27,CC,519.6
T000439,A3,11,AA,777.15
T000572,A26,17,BB,300.24
T000174,A32,4,EE,712.7
T000898,A40,27,FF,444.0
T000126,A36,3,EE,197.62
T000160,A18,4,GG,699.63
T000911,A19,27,AA,507.86
T000175,A12,4,EE,410.5
T000642,A9,20,EE,353.85
T000640,A34,20,CC,14.85
T000815,A24,26,DD,116.68
T00028,A48,1,AA,193.57
T000402,A2,11,CC,642.27
T000175,A12,4,EE,410.5
T000831,A26,26,CC,307.88
T000702,A8,22,BB,520.24
T000493,A28,13,DD,904.17
T000463,A18,12,AA,973.46
T000909,A42,27,BB,614.31
T00079,A23,2,EE,402.15
T000504,A10,14,BB,966.73
T000742,A16,23,DD,670.03
T000404,A10,11,CC,4.02
T000286,A15,8,AA,421.58
T00051,A20,1,GG,490.24
T000357,A48,9,EE,66.05
T000467,A32,12,AA,458.25
T000974,A44,28,DD,98.65
T000328,A2,8,CC,478.62
T000979,A32,29,BB,185.76
T000673,A48,21,FF,371.13
T000632,A11,20,GG,404.96
T000457,A6,12,CC,857.62
T000883,A29,27,DD,533.47
T000961,A43,28,DD,741.35
T000651,A4,20,DD,144.59
T000340,A5,9,GG,886.19
T000771,A12,24,FF,507.34
T000859,A19,26,DD,201.63
T000895,A33,27,DD,118.76
T000275,A39,7,FF,564.29
T000664,A1,21,GG,364.69
T000388,A44,10,FF,990.11
T000169,A43,4,CC,660.77
T000821,A35,26,EE,825.15
T000970,A39,28,FF,201.68
T000673,A48,21,FF,371.13
T000951,A8,28,BB,338.11
T000640,A34,20,CC,14.85
T000868,A45,27,DD,0.59
T000600,A19,19,FF,863.7
T000741,A48,23,FF,146.1
T000597,A45,19,GG,61.23
T000566,A15,17,AA,47.61
T000420,A4,11,FF,927.5
T000323,A10,8,GG,352.3
T000629,A22,20,BB,615.47
T000400,A23,11,AA,936.75
T000666,A1,21,FF,321.8
T000707,A39,23,FF,322.8
T000688,A22,22,DD,427.83
T000687,A33,22,FF,980.05
T00045,A5,1,CC,183.1
T000546,A14,16,BB,10.86
T000483,A36,13,EE,311.25
T000665,A17,21,EE,372.85
T000297,A25,8,EE,104.19
T000367,A10,10,EE,808.56
T0005,A19,1,BB,14.42
T000514,A14,14,FF,82.48
T00071,A17,2,BB,533.15
T00016,A16,1,BB,786.14
T000115,A26,3,GG,43.57
T00052,A13,1,GG,662.13
T000107,A8,2,FF,323.22
T00073,A9,2,DD,473.3
T000457,A6,12,CC,857.62
T000986,A7,29,FF,363.46
T000171,A42,4,EE,387.29
T000685,A1,22,CC,663.04
T00094,A9,2,BB,676.48
T000541,A25,15,GG,130.85
T000389,A34,10,FF,190.78
T000253,A41,6,GG,398.44
T000227,A4,6,DD,938.17
T000120,A30,3,GG,496.14
T000261,A42,7,DD,4.52
T000515,A38,14,AA,780.74
T000815,A24,26,DD,116.68
T000320,A19,8,CC,947.38
T000443,A26,12,EE,494.12
T000722,A23,23,DD,204.09
T000756,A47,24,FF,815.39
T000293,A28,8,FF,340.07
T000827,A38,26,EE,201.78
T000729,A28,23,DD,5.93
T000469,A31,12,BB,785.37
T000106,A11,2,AA,885.56
T000725,A22,23,CC,850.32
T000387,A14,10,BB,736.36
T000315,A14,8,GG,507.37
T000514,A14,14,FF,82.48
T000526,A27,15,BB,517.09
T000225,A46,6,BB,287.48
T000786,A8,25,GG,495.57
T000571,A15,17,BB,72.88
T000353,A35,9,GG,294.89
T000747,A32,24,FF,381.69
T000802,A1,25,AA,621.24
T000574,A30,17,BB,962.22
T000262,A5,7,FF,574.18
T000474,A40,12,EE,6.53
T000288,A32,8,GG,404.86
T000527,A25,15,BB,581.52
T000565,A26,17,GG,411.43
T000435,A7,11,BB,699.44
T000374,A7,10,EE,796.32
T000913,A36,27,EE,955.86
T000727,A5,23,FF,105.9
T000822,A38,26,EE,240.9
T000398,A28,11,FF,778.89
T000233,A40,6,GG,526.9
T000328,A2,8,CC,478.62
T000854,A16,26,AA,402.91
T000917,A46,27,GG,508.2
T00022,A35,1,EE,457.87
T000757,A9,24,AA,709.62
T000358,A18,9,GG,661.97
T000317,A31,8,DD,352.16
T000485,A8,13,EE,240.13
T000698,A36,22,GG,598.32
